2,1.0,901656.3,184556154.79135928
6,901657.3,12512161.07,1904455364.8896646
2,12512162.07,14729160.76,184556154.79135928
3,14729161.76,28011626.85,1303702591.4762304
4,28011627.85,43312102.25,1925740734.2236693
5,43312103.25,475296634.7900001,3926096625.0524096
1,475296635.7900001,655466984.8800001,4447384202.25661
5,655466985.8800001,736173967.6900002,3926096625.0524096
1,736173968.6900002,2661148449.63,4447384202.25661
0,2661148450.63,2693881556.98,3888504968.7021422
4,2693881557.98,2718474168.7,1925740734.2236693
2,2718474169.7,2721425426.0333333,184556154.79135928
