1,1,53237971,1451357605.091159
2,53237972,90326975,2356452261.525027
3,90326976,103125436,2725037779.250808
4,103125437,152165976,2703196729.9615164
5,152165977,172927617,3058753367.31832
6,172927618,237236202,2740130401.928925
7,237236203,247739157,3225506191.915617
8,247739158,299416548,2846808413.298205
9,299416549,326913655,2709180947.7341127
10,326913656,382872175,2834224593.651046
11,382872176,403467784,3028159042.12145
12,403467785,444911001,2664689102.357646
13,444911002,481432000,2758777688.309131
14,481432001,509809842,2809941851.216884
15,509809843,1682935150,2512438119.23859
16,1682935151,1690634244,2142584666.3966985
