3234999, 3234999, 60516, 1353, 14
6788731, 10023730, 66557, 7902, 15
19475690, 29499420, 19396, 4530, 11
19125495, 48624915, 20283, 4363, 11
19194934, 67819849, 18363, 4102, 7
19391183, 87211032, 21738, 4126, 7
19426564, 106637596, 18517, 4950, 11
19522140, 126159736, 19114, 4601, 11
19544429, 145704165, 18717, 4389, 11
18504846, 164209011, 25464, 5854, 2
19434334, 183643345, 19117, 3951, 7
19481436, 203124781, 19559, 4367, 11
19246964, 222371745, 20798, 4948, 11
19523408, 241895153, 19785, 4189, 7
18996951, 260892104, 23584, 4657, 11
19592858, 280484962, 18902, 4189, 7
19279594, 299764556, 18389, 4790, 11
19171330, 318935886, 19498, 4478, 11
19301548, 338237434, 19592, 4471, 11
19526932, 357764366, 19001, 5066, 11
19652489, 377416855, 19116, 4294, 11
19657883, 397074738, 19410, 4712, 11
19687589, 416762327, 19003, 4896, 11
19586518, 436348845, 19119, 4042, 7
19599524, 455948369, 18843, 5120, 11
19615154, 475563523, 19727, 5110, 11
15413684, 490977207, 30453, 2124, 19
5338656, 496315863, 10536, 166, 6
6152, 496322015, 370, 4, 1
11784, 496333799, 47, 0, 1
5658, 496339457, 13, 0, 1
6138, 496345595, 17, 0, 1
5634, 496351229, 17, 0, 1
11818, 496363047, 27, 0, 1
5658, 496368705, 11, 0, 1
6124, 496374829, 28, 0, 1
5658, 496380487, 13, 0, 1
11817, 496392304, 30, 0, 1
5658, 496397962, 15, 0, 1
6138, 496404100, 17, 0, 1
5658, 496409758, 10, 0, 1
11830, 496421588, 31, 0, 1
5644, 496427232, 23, 0, 1
6126, 496433358, 24, 0, 1
5651, 496439009, 16, 0, 1
11817, 496450826, 33, 0, 1
5658, 496456484, 14, 0, 1
6151, 496462635, 18, 0, 1
5658, 496468293, 13, 0, 1
11818, 496480111, 26, 0, 1
5652, 496485763, 16, 0, 1
6126, 496491889, 18, 0, 1
5651, 496497540, 19, 0, 1
11831, 496509371, 29, 0, 1
5658, 496515029, 12, 0, 1
6138, 496521167, 16, 0, 1
5658, 496526825, 11, 0, 1
11818, 496538643, 29, 0, 1
