0,1,153915170.4,2967176654.3650727
2,153915171.4,181209844.26,2644991375.7880425
6,181209845.26,210939452.93,2131834795.7711167
0,210939453.93,1605241851.5400002,2967176654.3650727
2,1605241852.5400002,1916914558.72,2644991375.7880425
13,1916914559.72,3817404997.400001,2697371521.4486256
6,3817404998.400001,3881802302.800001,2131834795.7711167
3,3881802303.800001,3895354253.420001,1443023607.5620902
1,3895354254.420001,3939346934.2300014,1404728713.4590423
6,3939346935.2300014,3955153346.6100016,2131834795.7711167
10,3955153347.6100016,3973384107.8876977,797661017.4990699
1,3973384108.8876977,4002189796.287698,1404728713.4590423
10,4002189797.287698,4012850130.787698,797661017.4990699
1,4012850131.787698,4027469471.787698,1404728713.4590423
6,4027469472.787698,4042949600.787698,2131834795.7711167
10,4042949601.787698,4054729120.787698,797661017.4990699
