2,1.0,2798148.75,402656963.68940234
10,2798149.75,11604636.0,984117373.4137756
12,11604637.0,29668869.5,3765868613.9089994
17,29668870.5,44764472.25,139571185.7032857
12,44764473.25,83357899.5,3765868613.9089994
9,83357900.5,101914518.75,3513295315.499915
1,101914519.75,120617800.25,3452784640.556049
12,120617801.25,139715192.5,3765868613.9089994
6,139715193.5,159090034.5,3847622631.9609103
12,159090035.5,197857698.5,3765868613.9089994
6,197857699.5,217288653.75,3847622631.9609103
12,217288654.75,236471992.5,3765868613.9089994
1,236471993.5,287709156.5,3452784640.556049
12,287709157.5,463530743.5,3765868613.9089994
1,463530744.5,481632123.75,3452784640.556049
4,481632124.75,493665190.75,1349838696.1073833
11,493665191.75,496881312.75,5864693.025313556
0,496881313.75,500564878.0,1104521.3820628605
7,500564879.0,500909342.0,1220522.0349387422
0,500909343.0,500695308.0,1104521.3820628605
